,satisfaccion,desempeño,numero proyectos,promedio horas mes,tiempo en empresa,accidente laboral,retiro,Ascenso,Departamento,salario
4169,0.43,0.9,5,282,5,0,0,0,mantenimiento,bajo
4170,0.92,0.46,5,195,5,0,0,0,mantenimiento,bajo
4171,0.72,0.81,4,134,2,0,0,0,mantenimiento,bajo
4172,0.94,0.84,3,210,2,0,0,0,mantenimiento,bajo
4173,0.74,0.52,3,170,3,0,0,0,mantenimiento,bajo
4174,0.48,0.71,2,140,3,1,0,0,mantenimiento,bajo
4175,0.84,0.76,5,215,2,1,0,0,mantenimiento,bajo
4176,0.53,0.86,3,150,3,0,0,0,mantenimiento,bajo
4177,0.45,0.88,5,268,3,1,0,0,mantenimiento,medio
4178,0.95,0.67,4,270,4,0,0,0,mantenimiento,medio
4179,0.95,0.58,3,163,3,0,0,0,,medio
4180,0.7,0.85,3,188,2,0,0,0,,medio
4181,0.19,0.93,3,110,4,0,0,0,,medio
4182,0.74,0.91,5,135,3,0,0,0,gerencia y admon,medio
4183,0.54,0.59,4,228,3,0,0,0,sistemas,medio
4184,0.5,0.69,5,172,2,0,0,0,sistemas,medio
4185,0.95,0.72,3,168,5,0,0,0,sistemas,medio
4186,0.69,0.69,5,160,3,0,0,0,sistemas,medio
4187,0.24,0.74,5,282,3,0,0,0,sistemas,medio
4188,0.96,0.7,5,184,2,1,0,0,calidad,medio
4189,0.61,0.5,4,217,4,1,0,0,calidad,medio
4190,0.76,0.53,6,281,3,0,0,0,calidad,medio
4191,0.61,0.64,3,245,2,0,0,0,calidad,medio
4192,0.37,0.48,2,285,5,0,0,0,sistemas,medio
4193,0.81,0.9,4,165,3,0,0,0,i+d,medio
4194,0.59,0.9,3,146,3,0,0,0,i+d,medio
4195,0.73,0.82,3,133,3,0,0,0,i+d,medio
4196,0.87,0.57,2,181,6,0,0,0,i+d,medio
4197,0.67,0.66,6,152,3,0,0,0,i+d,medio
4198,0.96,0.78,2,284,3,0,0,0,i+d,medio
4199,0.98,0.51,3,157,3,0,0,0,publicidad,medio
4200,0.5,0.58,4,165,2,0,0,0,ventas,alto
4201,0.49,0.71,3,255,2,1,0,0,finanzas,bajo
4202,0.13,0.65,4,194,4,0,0,0,mantenimiento,medio
4203,0.57,0.68,3,102,6,0,0,0,,medio
4204,0.51,0.94,4,247,2,0,0,0,gerencia y admon,medio
4205,0.99,0.69,3,206,2,0,0,0,publicidad,medio
4206,0.8,0.77,3,171,2,0,0,0,publicidad,medio
4207,0.56,0.39,5,263,4,0,0,0,publicidad,medio
4208,0.96,0.84,4,272,4,1,0,0,ventas,medio
4209,0.96,0.5,3,158,2,1,0,0,ventas,medio
4210,0.87,0.53,6,216,6,1,0,0,ventas,medio
4211,0.61,0.9,5,113,3,0,0,0,ventas,medio
4212,0.18,0.6,3,140,4,0,0,0,ventas,bajo
4213,0.24,0.77,5,178,5,0,0,0,ventas,bajo
4214,0.86,0.48,4,153,3,0,0,0,ventas,bajo
4215,0.25,0.62,6,271,5,0,0,0,ventas,bajo
4216,0.25,0.82,3,269,5,0,0,0,ventas,bajo
4217,0.63,0.55,3,160,3,0,0,0,ventas,bajo
4218,0.89,0.68,4,258,2,1,0,0,ventas,bajo
4219,0.87,0.82,4,251,3,0,0,0,ventas,alto
4220,0.87,0.78,3,170,2,0,0,0,ventas,bajo
4221,0.71,0.99,4,238,4,1,0,0,ventas,alto
4222,0.98,0.87,4,152,2,0,0,0,ventas,alto
4223,0.16,0.51,3,262,6,0,0,0,ventas,bajo
4224,0.83,0.68,4,273,2,0,0,0,ventas,bajo
4225,0.65,0.77,3,233,2,0,0,0,ventas,alto
4226,0.95,0.64,3,262,3,0,0,0,ventas,bajo
4227,0.67,0.67,3,183,3,0,0,0,finanzas,medio
4228,0.53,0.88,3,150,3,1,0,0,finanzas,alto
4229,0.74,0.94,3,132,3,0,0,0,finanzas,medio
4230,0.77,0.79,3,200,4,0,0,0,rr.hh.,medio
4231,0.13,0.72,4,148,5,0,0,0,rr.hh.,medio
4232,0.82,0.92,3,187,3,1,0,0,rr.hh.,medio
4233,0.88,0.65,4,224,2,0,0,0,rr.hh.,alto
4234,0.89,0.5,4,147,2,0,0,0,,medio
4235,0.85,0.51,3,153,4,0,0,0,,medio
4236,0.93,0.87,5,154,2,0,0,0,,medio
4237,0.62,0.7,5,270,3,0,0,0,,alto
4238,0.58,0.96,3,202,2,0,0,0,,medio
4239,0.98,0.5,4,264,3,0,0,0,,alto
4240,0.52,0.45,2,145,3,0,0,0,,bajo
4241,0.76,0.49,3,138,2,1,0,0,,medio
4242,0.73,0.91,3,238,2,0,0,0,,medio
4243,0.74,0.64,4,147,5,0,0,0,,medio
4244,0.49,0.48,3,190,2,0,0,0,,medio
4245,0.91,0.97,4,183,3,0,0,0,mantenimiento,bajo
4246,0.74,0.92,5,255,3,0,0,0,mantenimiento,bajo
4247,0.86,0.82,4,252,4,0,0,0,mantenimiento,bajo
4248,0.52,0.47,6,141,5,1,0,0,mantenimiento,bajo
4249,0.95,0.81,3,260,2,0,0,0,mantenimiento,bajo
4250,0.65,0.98,3,136,3,0,0,0,mantenimiento,bajo
4251,0.7,0.56,4,182,2,0,0,0,mantenimiento,bajo
4252,0.14,0.66,6,142,5,0,0,0,mantenimiento,bajo
4253,0.92,0.53,2,261,4,0,0,0,mantenimiento,bajo
4254,0.54,0.6,3,209,2,0,0,0,mantenimiento,bajo
4255,0.76,0.95,2,156,4,0,0,0,mantenimiento,alto
4256,0.78,0.66,4,214,2,0,0,0,,bajo
4257,0.85,0.86,4,250,3,0,0,0,,bajo
4258,0.78,0.8,4,197,3,1,0,0,,bajo
4259,0.55,0.72,3,149,3,0,0,0,gerencia y admon,bajo
4260,0.68,0.61,5,271,2,0,0,0,sistemas,alto
4261,0.91,0.68,4,187,2,0,0,0,sistemas,bajo
4262,0.76,0.56,3,154,2,0,0,0,sistemas,bajo
4263,0.15,0.67,4,264,3,0,0,0,sistemas,bajo
4264,0.95,0.6,2,144,3,0,0,0,sistemas,alto
4265,0.74,0.37,6,200,3,0,0,0,calidad,bajo
4266,0.92,0.56,5,197,2,1,0,0,calidad,medio
4267,0.64,0.89,3,175,3,1,0,0,calidad,alto
4268,0.96,0.9,3,161,3,0,0,0,calidad,medio
4269,0.21,0.72,3,245,6,0,0,0,sistemas,alto
4270,0.85,0.67,3,167,4,0,0,0,i+d,medio
4271,0.52,0.86,5,168,3,0,0,0,i+d,medio
4272,0.54,0.81,5,261,6,0,0,0,i+d,medio
4273,0.56,0.81,5,274,4,0,0,0,i+d,medio
4274,0.59,0.79,4,181,3,0,0,0,i+d,medio
4275,0.88,0.58,5,266,3,1,0,0,publicidad,medio
4276,0.7,0.84,4,184,3,0,0,0,ventas,medio
4277,0.95,0.58,3,193,2,0,0,0,finanzas,medio
4278,0.83,0.88,3,217,2,1,0,0,mantenimiento,alto
4279,0.76,0.62,4,197,3,0,0,0,,bajo
4280,0.82,0.92,5,252,3,0,0,0,gerencia y admon,medio
4281,0.55,0.97,4,136,3,0,0,0,publicidad,medio
4282,0.89,0.55,5,194,4,0,0,0,publicidad,medio
4283,0.66,0.94,4,190,3,0,0,0,publicidad,medio
4284,0.41,0.61,3,185,2,1,0,0,ventas,medio
4285,0.83,0.77,3,232,2,1,0,0,ventas,medio
4286,0.88,0.72,3,200,2,1,0,0,ventas,medio
4287,0.56,0.66,5,155,2,0,0,0,ventas,medio
4288,0.53,0.72,3,228,3,0,0,0,ventas,medio
4289,0.8,0.41,3,188,4,0,0,0,ventas,alto
4290,0.95,0.78,4,245,3,0,0,0,ventas,bajo
4291,0.9,0.88,4,205,2,0,0,0,ventas,bajo
4292,0.5,0.97,4,269,3,0,0,0,ventas,bajo
4293,0.4,0.59,3,207,6,0,0,0,ventas,alto
4294,0.52,0.85,3,250,4,0,0,0,ventas,bajo
4295,0.51,0.5,5,251,3,1,0,0,ventas,bajo
4296,0.84,0.62,5,217,3,0,0,0,ventas,bajo
4297,0.78,0.98,5,252,3,0,0,0,ventas,alto
4298,0.91,0.71,2,159,3,1,0,0,ventas,bajo
4299,0.59,0.71,5,169,2,0,0,0,ventas,bajo
4300,0.69,0.97,5,105,4,0,0,0,ventas,bajo
4301,0.87,0.93,4,268,2,0,0,0,ventas,bajo
4302,0.66,1.0,5,145,2,0,0,0,ventas,bajo
4303,0.5,0.54,4,165,3,0,0,0,finanzas,bajo
4304,0.95,0.75,3,253,4,0,0,0,finanzas,bajo
4305,0.77,0.64,3,254,3,0,0,0,finanzas,medio
4306,0.66,0.5,3,218,2,0,0,0,rr.hh.,medio
4307,0.61,0.98,3,138,5,1,0,0,rr.hh.,medio
4308,0.7,0.87,5,239,3,0,0,0,rr.hh.,medio
4309,0.89,0.71,5,182,2,1,0,0,rr.hh.,medio
4310,0.6,0.78,4,152,3,1,0,0,,medio
4311,0.62,0.51,3,222,3,1,0,0,,medio
4312,0.59,0.9,2,219,2,1,0,0,,medio
4313,0.69,0.59,4,266,4,0,0,0,,medio
4314,0.36,0.94,3,113,5,1,0,0,,medio
4315,0.59,0.93,4,146,3,0,0,0,,medio
4316,0.5,0.51,5,238,4,0,0,0,,medio
4317,0.53,0.99,3,188,3,0,0,0,,alto
4318,0.84,0.9,4,237,2,0,0,0,,bajo
4319,0.51,0.95,4,201,3,0,0,0,,medio
4320,0.53,0.56,5,188,3,0,0,0,,medio
4321,0.98,0.63,3,137,3,0,0,0,mantenimiento,medio
4322,0.95,0.81,4,263,3,0,0,0,mantenimiento,medio
4323,0.13,0.76,5,217,3,0,0,0,mantenimiento,bajo
4324,0.5,0.64,4,213,4,0,0,0,mantenimiento,bajo
4325,0.93,0.76,3,244,3,0,0,0,mantenimiento,bajo
4326,0.5,0.87,3,252,2,0,0,0,mantenimiento,bajo
4327,0.66,0.84,4,168,2,0,0,0,mantenimiento,bajo
4328,0.89,0.79,4,212,3,0,0,0,mantenimiento,bajo
4329,0.46,0.43,4,258,3,0,0,0,mantenimiento,bajo
4330,0.67,0.6,4,210,3,0,0,0,mantenimiento,bajo
4331,0.96,0.9,4,246,3,0,0,0,mantenimiento,bajo
4332,0.98,0.76,4,221,3,1,0,0,,bajo
4333,0.67,0.57,5,215,4,0,0,0,,bajo
4334,0.72,0.72,4,175,4,0,0,0,,bajo
4335,0.65,0.49,5,221,2,0,0,0,gerencia y admon,bajo
4336,0.72,0.67,5,219,3,0,0,0,sistemas,bajo
4337,0.78,0.58,3,154,3,0,0,0,sistemas,bajo
4338,0.93,0.56,3,266,2,0,0,0,sistemas,bajo
4339,0.73,0.85,5,224,4,0,0,0,sistemas,bajo
4340,0.2,0.57,4,269,5,1,0,0,sistemas,bajo
4341,0.47,0.5,4,159,2,0,0,0,calidad,bajo
4342,0.56,0.62,4,247,3,0,0,0,calidad,bajo
4343,0.72,0.86,4,137,2,0,0,0,calidad,bajo
4344,0.91,0.56,4,251,4,0,0,0,calidad,medio
4345,0.79,0.49,5,210,3,0,0,0,sistemas,medio
4346,0.53,0.75,2,123,4,0,0,0,i+d,medio
4347,0.14,0.51,4,253,6,0,0,0,i+d,medio
4348,0.78,0.92,5,242,4,0,0,0,i+d,medio
4349,0.52,0.74,3,238,3,0,0,0,i+d,medio
4350,0.94,0.68,5,151,2,0,0,0,i+d,medio
4351,0.83,0.8,4,158,4,0,0,0,publicidad,medio
4352,0.44,0.68,2,120,2,0,0,0,publicidad,medio
4353,0.72,0.74,3,187,2,0,0,0,ventas,medio
4354,0.84,0.58,3,140,3,0,0,0,finanzas,medio
4355,0.76,0.99,3,164,2,0,0,0,mantenimiento,medio
4356,0.92,0.94,5,253,2,0,0,0,,alto
4357,0.58,0.93,5,235,2,0,0,0,gerencia y admon,bajo
4358,0.85,0.81,4,189,4,0,0,0,publicidad,medio
4359,0.74,0.51,4,246,3,1,0,0,publicidad,medio
4360,0.74,0.87,4,258,2,0,0,0,publicidad,medio
4361,0.72,0.8,3,158,3,0,0,0,ventas,medio
4362,0.76,0.98,4,173,3,1,0,0,ventas,bajo
4363,0.85,0.72,3,201,3,0,0,0,ventas,bajo
4364,0.82,0.49,5,185,3,0,0,0,ventas,bajo
4365,0.6,0.93,5,270,3,1,0,0,ventas,bajo
4366,0.39,0.64,3,152,2,0,0,0,ventas,bajo
4367,0.83,0.53,3,211,4,1,0,0,ventas,bajo
4368,0.7,0.92,3,162,3,1,0,0,ventas,bajo
4369,0.84,0.97,4,253,2,1,0,0,ventas,bajo
4370,0.9,0.77,4,236,3,0,0,0,ventas,bajo
4371,0.18,0.84,4,231,5,0,0,0,ventas,bajo
4372,0.52,0.71,2,231,2,0,0,0,ventas,bajo
4373,0.87,0.51,4,233,3,0,0,0,ventas,bajo
4374,0.6,0.79,5,217,2,0,0,0,ventas,bajo
4375,0.72,0.93,4,174,2,0,0,0,ventas,bajo
4376,0.48,0.64,4,227,3,0,0,0,ventas,bajo
4377,0.75,0.53,3,222,2,0,0,0,ventas,bajo
4378,0.85,0.55,2,207,6,0,0,0,ventas,bajo
4379,0.39,0.41,6,115,3,0,0,0,ventas,bajo
4380,0.61,0.68,3,254,2,0,0,0,finanzas,bajo
4381,0.6,0.61,4,170,3,0,0,0,finanzas,bajo
4382,0.57,0.64,2,206,3,0,0,0,finanzas,bajo
4383,0.19,0.68,5,149,3,0,0,0,rr.hh.,medio
4384,0.48,0.77,3,197,3,0,0,0,rr.hh.,medio
4385,0.69,0.75,4,261,3,0,0,0,rr.hh.,medio
4386,0.7,0.55,4,256,4,0,0,0,rr.hh.,medio
4387,0.65,0.92,3,219,3,0,0,0,,medio
4388,0.81,0.96,4,143,3,1,0,0,,medio
4389,0.85,0.95,4,171,3,0,0,0,,medio
4390,0.93,0.76,4,207,2,0,0,0,,medio
4391,0.72,0.94,4,235,3,0,0,0,,medio
4392,0.49,0.55,2,173,3,0,0,0,,medio
4393,0.94,0.47,5,131,6,0,0,0,,medio
4394,0.81,0.84,4,143,2,0,0,0,,medio
4395,0.92,0.78,5,193,4,0,0,0,,alto
4396,0.97,0.82,3,135,2,0,0,0,,bajo
4397,0.98,0.61,4,265,2,1,0,0,,medio
4398,0.44,0.45,3,133,2,1,0,0,mantenimiento,medio
4399,0.72,0.87,4,184,4,0,0,0,mantenimiento,medio
4400,0.8,0.73,5,135,3,0,0,0,mantenimiento,medio
4401,0.6,0.72,4,267,4,0,0,0,mantenimiento,bajo
4402,0.89,0.65,4,184,3,0,0,0,mantenimiento,bajo
4403,0.69,0.57,5,227,2,0,0,0,mantenimiento,bajo
4404,0.54,0.81,4,257,2,0,0,0,mantenimiento,bajo
4405,0.97,0.75,5,235,3,1,0,0,mantenimiento,bajo
4406,0.37,0.4,4,161,2,0,0,0,mantenimiento,bajo
4407,0.73,0.52,4,215,3,0,0,0,mantenimiento,bajo
4408,0.57,0.69,4,146,3,0,0,0,mantenimiento,bajo
4409,0.86,0.66,4,191,2,0,0,0,,bajo
4410,0.83,0.85,4,261,3,0,0,0,,bajo
4411,0.19,0.52,5,200,5,0,0,0,,bajo
4412,0.55,0.93,4,239,4,0,0,0,gerencia y admon,bajo
4413,0.6,0.65,4,160,2,0,0,0,sistemas,bajo
4414,0.62,0.71,3,177,3,1,0,0,sistemas,bajo
4415,0.65,0.55,5,215,2,0,0,0,sistemas,bajo
4416,0.4,0.48,4,97,2,0,0,0,sistemas,bajo
4417,0.82,0.78,5,231,2,1,0,0,sistemas,bajo
4418,0.75,0.69,2,257,2,1,0,0,calidad,bajo
4419,0.83,0.53,3,232,3,1,0,0,calidad,bajo
4420,0.77,0.78,4,212,3,0,0,0,calidad,bajo
4421,0.59,0.98,4,198,3,0,0,0,calidad,bajo
4422,0.8,0.79,5,240,4,0,0,0,sistemas,medio
4423,0.84,0.55,3,242,3,0,0,0,i+d,medio
4424,0.88,0.71,4,250,3,0,0,0,i+d,medio
4425,0.37,0.9,3,229,6,0,0,0,i+d,medio
4426,0.88,0.66,4,133,2,0,0,0,i+d,medio
4427,0.69,0.85,3,200,2,0,0,0,i+d,medio
4428,0.54,0.49,2,155,2,1,0,0,publicidad,medio
4429,0.76,0.57,5,139,4,0,0,0,ventas,medio
4430,0.51,0.58,4,272,3,0,0,0,finanzas,medio
4431,0.16,0.52,3,100,4,0,0,0,mantenimiento,medio
4432,0.65,0.6,5,160,3,0,0,0,,medio
4433,0.54,0.81,5,195,4,0,0,0,gerencia y admon,medio
4434,0.66,0.68,4,152,3,0,0,0,publicidad,alto
4435,0.95,0.65,5,182,3,0,0,0,publicidad,bajo
4436,0.83,0.57,3,137,2,0,0,0,publicidad,medio
4437,0.98,0.84,4,182,3,0,0,0,ventas,medio
4438,0.72,0.72,3,217,2,0,0,0,ventas,medio
4439,0.71,0.62,4,192,4,0,0,0,ventas,medio
4440,0.36,0.65,3,116,2,1,0,0,ventas,bajo
4441,0.55,0.65,4,170,4,0,0,0,ventas,bajo
4442,0.64,0.52,3,223,3,0,0,0,ventas,bajo
4443,0.62,0.57,3,174,2,0,0,0,ventas,bajo
4444,1.0,0.95,3,193,6,0,0,0,ventas,bajo
4445,0.91,0.91,6,167,2,1,0,0,ventas,bajo
4446,0.81,0.67,4,225,3,0,0,0,ventas,bajo
4447,0.71,0.92,4,248,3,1,0,0,ventas,bajo
4448,0.97,0.74,3,104,5,0,0,0,ventas,bajo
4449,0.75,0.86,6,148,4,0,0,0,ventas,bajo
4450,0.68,1.0,3,148,4,1,0,0,ventas,bajo
4451,0.87,0.68,5,187,3,0,0,0,ventas,bajo
4452,0.96,0.57,3,151,2,0,0,0,ventas,bajo
4453,0.41,0.86,6,215,5,0,0,0,ventas,bajo
4454,0.81,0.61,4,142,4,0,0,0,ventas,bajo
4455,0.68,1.0,6,258,5,0,0,0,ventas,bajo
4456,0.63,0.56,4,228,3,0,0,0,finanzas,bajo
4457,0.6,0.84,2,221,3,0,0,0,finanzas,bajo
4458,0.66,0.97,3,263,3,0,0,0,finanzas,medio
4459,0.69,0.82,4,273,4,0,0,0,rr.hh.,medio
4460,0.23,0.37,3,247,4,0,0,0,rr.hh.,medio
4461,0.52,0.63,3,225,3,0,0,0,rr.hh.,medio
4462,0.65,0.86,4,269,2,1,0,0,rr.hh.,medio
4463,0.78,0.4,6,174,3,0,0,0,,medio
4464,0.6,0.65,5,201,2,0,0,0,,medio
4465,0.9,0.62,3,254,3,0,0,0,,medio
4466,0.59,0.95,5,254,2,0,0,0,,medio
4467,0.89,0.78,3,185,2,1,0,0,,medio
4468,0.96,0.85,4,200,4,0,0,0,,medio
4469,0.68,0.76,3,190,3,1,0,0,,medio
4470,0.52,0.72,2,160,2,0,0,0,,alto
4471,0.68,0.94,3,264,2,0,0,0,,bajo
4472,0.6,0.59,3,172,3,0,0,0,,medio
4473,0.28,0.83,5,279,4,0,0,0,,medio
4474,0.98,0.54,5,260,3,0,0,0,mantenimiento,medio
4475,0.67,0.52,4,262,2,0,0,0,mantenimiento,medio
4476,0.86,0.6,5,134,2,1,0,0,mantenimiento,bajo
4477,0.83,0.9,3,195,3,0,0,0,mantenimiento,bajo
4478,0.79,0.86,3,139,3,0,0,0,mantenimiento,bajo
4479,0.54,0.86,4,205,5,0,0,0,mantenimiento,bajo
4480,0.51,0.86,5,212,2,0,0,0,mantenimiento,bajo
4481,0.75,0.65,4,148,2,0,0,0,mantenimiento,bajo
4482,0.51,0.67,4,228,3,0,0,0,mantenimiento,bajo
4483,0.73,0.74,5,230,3,0,0,0,mantenimiento,bajo
4484,0.17,0.4,4,286,3,0,0,0,mantenimiento,bajo
4485,0.88,0.59,4,142,3,0,0,0,,bajo
4486,0.76,0.79,3,161,3,0,0,0,,bajo
4487,0.29,0.77,3,152,3,1,0,0,,bajo
4488,0.62,0.97,4,266,3,0,0,0,gerencia y admon,bajo
4489,0.5,0.85,2,143,3,0,0,0,sistemas,bajo
4490,0.16,0.65,5,165,3,0,0,0,sistemas,bajo
4491,0.18,0.99,4,204,6,0,0,0,sistemas,bajo
4492,0.86,0.68,4,170,2,0,0,0,sistemas,bajo
4493,0.68,0.52,5,203,3,0,0,0,sistemas,bajo
4494,0.68,0.85,3,199,3,0,0,0,calidad,bajo
4495,0.89,0.78,4,223,3,0,0,0,calidad,bajo
4496,0.86,0.88,4,220,2,0,0,0,calidad,bajo
4497,0.43,0.41,4,190,3,0,0,0,calidad,medio
4498,0.85,0.58,4,143,6,1,0,0,sistemas,medio
4499,0.94,0.8,5,111,4,0,0,1,i+d,medio
4500,0.58,0.71,4,145,3,1,0,1,i+d,medio
4501,0.43,0.6,3,138,3,0,0,1,i+d,medio
4502,0.72,0.49,3,203,3,0,0,1,i+d,medio
4503,0.95,0.96,5,175,3,1,0,1,i+d,medio
4504,0.35,0.67,3,119,3,0,0,1,publicidad,medio
4505,0.77,0.79,3,157,3,0,0,1,ventas,medio
4506,0.74,0.7,5,135,2,0,0,1,finanzas,medio
4507,0.5,0.6,4,200,2,0,0,1,mantenimiento,medio
4508,0.87,0.56,4,121,2,0,0,1,,medio
4509,0.55,0.48,3,162,3,0,0,1,gerencia y admon,alto
4510,0.8,0.65,3,135,3,0,0,1,publicidad,bajo
4511,0.49,0.52,4,183,2,0,0,1,publicidad,medio
4512,0.54,0.92,4,228,3,0,0,1,publicidad,medio
4513,0.21,0.87,4,148,5,0,0,0,ventas,medio
4514,0.77,0.77,3,219,2,0,0,0,ventas,medio
4515,0.53,0.73,4,147,3,0,0,0,ventas,bajo
4516,0.89,0.49,5,165,6,0,0,0,ventas,bajo
4517,0.25,0.59,4,218,3,1,0,0,ventas,bajo
4518,0.53,0.59,3,231,2,0,0,0,ventas,bajo
4519,0.44,0.45,2,124,3,0,0,0,ventas,bajo
4520,0.7,0.44,2,131,2,0,0,0,ventas,bajo
4521,0.54,0.76,3,199,4,0,0,0,ventas,bajo
4522,0.9,0.56,3,220,3,0,0,0,ventas,bajo
4523,0.69,0.8,5,215,3,0,0,0,ventas,bajo
4524,0.78,0.59,4,180,3,0,0,0,ventas,bajo
4525,0.91,0.49,6,272,6,0,0,0,ventas,bajo
4526,0.92,0.61,2,228,2,0,0,0,ventas,bajo
4527,0.96,0.88,3,168,2,0,0,0,ventas,bajo
4528,0.8,0.77,4,205,2,0,0,0,ventas,bajo
4529,0.52,0.67,3,244,3,0,0,0,ventas,bajo
4530,0.52,0.97,3,185,2,0,0,0,ventas,bajo
4531,0.93,0.96,5,135,3,1,0,0,ventas,bajo
4532,0.89,0.9,4,160,2,0,0,0,finanzas,bajo
4533,0.83,0.61,4,262,4,0,0,0,finanzas,bajo
4534,0.7,0.84,6,225,6,0,0,0,finanzas,bajo
4535,0.89,0.74,4,174,2,0,0,0,rr.hh.,bajo
4536,0.21,0.37,6,266,3,0,0,1,rr.hh.,medio
4537,0.67,0.78,4,241,4,0,0,1,rr.hh.,medio
4538,0.73,0.97,3,245,2,0,0,1,rr.hh.,medio
4539,0.85,0.51,3,261,4,0,0,1,,medio
4540,0.54,0.85,4,157,3,0,0,1,,medio
4541,0.74,0.94,3,286,6,0,0,1,,medio
4542,0.71,0.65,4,263,2,1,0,1,,medio
4543,0.76,0.52,2,229,3,0,0,1,,medio
4544,0.85,0.5,4,159,2,0,0,1,,medio
4545,0.82,0.89,4,196,3,0,0,1,,medio
4546,0.71,0.79,4,133,3,0,0,1,,medio
4547,0.79,0.65,5,228,3,0,0,1,,medio
4548,0.86,0.56,4,247,3,0,0,1,,alto
4549,0.9,0.78,5,215,3,0,0,1,,bajo
4550,0.65,0.8,6,233,3,1,0,1,mantenimiento,medio
4551,0.53,0.74,5,237,2,0,0,1,mantenimiento,medio
4552,0.51,0.91,4,269,5,0,0,1,mantenimiento,medio
4553,1.0,0.76,6,246,3,1,0,1,mantenimiento,medio
4554,0.92,0.82,4,168,3,0,0,1,mantenimiento,bajo
4555,1.0,0.59,3,168,3,0,0,1,mantenimiento,bajo
4556,0.23,0.67,4,163,5,0,0,1,mantenimiento,bajo
4557,0.52,0.77,3,142,2,0,0,1,mantenimiento,bajo
4558,0.8,0.83,4,183,2,1,0,1,mantenimiento,bajo
4559,0.59,0.72,4,264,3,0,0,0,mantenimiento,bajo
4560,0.75,0.55,2,184,2,0,0,0,mantenimiento,bajo
4561,0.99,0.58,4,138,3,0,0,0,,bajo
4562,0.57,0.76,3,195,3,0,0,0,,medio
4563,0.87,0.95,4,251,3,0,0,0,,medio
4564,0.52,0.47,3,108,5,0,0,0,gerencia y admon,medio
4565,0.57,0.9,3,144,2,0,0,0,sistemas,medio
4566,0.32,0.77,6,112,4,0,0,0,sistemas,medio
4567,0.66,0.81,2,201,3,0,0,0,sistemas,medio
4568,0.53,0.8,4,204,3,0,0,0,sistemas,medio
4569,0.55,0.62,5,226,3,0,0,0,sistemas,medio
4570,0.66,0.9,3,217,4,0,0,0,calidad,medio
4571,0.69,0.92,4,149,2,0,0,0,calidad,medio
4572,0.67,0.99,5,237,3,0,0,0,calidad,medio
4573,0.75,0.37,3,256,3,0,0,0,calidad,medio
4574,0.7,0.98,4,194,2,0,0,0,sistemas,medio
4575,0.71,0.74,3,202,2,0,0,0,i+d,medio
4576,0.97,0.6,5,133,2,0,0,0,i+d,medio
4577,0.5,0.48,3,246,3,0,0,0,i+d,medio
4578,0.34,0.92,3,206,3,0,0,0,i+d,medio
4579,0.67,0.74,3,204,3,0,0,0,i+d,medio
4580,0.78,0.98,4,157,3,0,0,0,publicidad,medio
4581,0.52,0.91,4,187,2,0,0,0,ventas,medio
4582,0.91,0.51,2,211,2,0,0,0,finanzas,medio
4583,0.79,0.92,3,204,3,0,0,0,mantenimiento,medio
4584,0.83,0.53,5,182,2,1,0,0,,medio
4585,0.74,0.76,3,244,3,0,0,0,gerencia y admon,medio
4586,0.77,0.97,3,184,3,1,0,0,publicidad,medio
4587,0.49,0.71,2,117,3,0,0,0,publicidad,alto
4588,0.94,0.89,3,230,3,1,0,0,publicidad,alto
4589,0.99,0.91,3,241,2,0,0,0,ventas,alto
4590,0.69,0.84,3,227,3,1,0,0,ventas,alto
4591,0.88,0.59,5,147,4,0,0,0,ventas,alto
4592,0.89,0.9,3,240,3,0,0,0,ventas,alto
4593,0.8,0.58,4,238,2,0,0,0,ventas,alto
4594,0.22,0.89,4,262,4,0,0,0,ventas,alto
4595,0.87,0.83,4,215,2,0,0,0,ventas,alto
4596,0.66,0.66,3,211,4,0,0,0,ventas,alto
4597,0.9,0.68,3,156,3,1,0,0,ventas,alto
4598,0.95,0.54,4,180,5,0,0,0,ventas,alto
4599,0.49,0.56,4,260,6,0,0,0,ventas,bajo
4600,0.71,0.68,4,228,2,0,0,0,ventas,bajo
4601,0.2,0.96,2,249,3,0,0,0,ventas,bajo
4602,0.95,0.64,3,242,5,1,0,0,ventas,bajo
4603,0.68,0.8,2,254,2,1,0,0,ventas,bajo
4604,0.93,0.68,3,272,2,1,0,0,ventas,bajo
4605,0.85,0.57,5,210,3,0,0,0,ventas,bajo
4606,0.82,0.68,3,140,2,0,0,0,ventas,bajo
4607,0.87,0.42,5,252,5,0,0,0,ventas,bajo
4608,0.88,0.84,3,266,3,0,0,0,finanzas,bajo
4609,0.98,0.79,4,138,3,0,0,0,finanzas,bajo
4610,0.89,0.98,3,220,3,0,0,0,finanzas,bajo
4611,0.92,0.51,5,214,3,0,0,0,rr.hh.,bajo
4612,0.48,0.6,2,121,5,0,0,0,rr.hh.,bajo
4613,0.67,0.49,4,195,3,0,0,0,rr.hh.,bajo
4614,0.84,0.55,3,135,3,0,0,0,rr.hh.,medio
4615,0.97,0.78,4,261,2,0,0,0,,medio
4616,0.65,0.53,5,205,3,1,0,0,,medio
4617,0.79,0.87,5,240,2,1,0,0,,medio
4618,0.75,0.75,2,141,4,0,0,0,,medio
4619,0.69,0.64,4,200,3,0,0,0,,medio
4620,0.85,0.6,4,257,3,0,0,0,,medio
